,Planet Name,Eclipse Flux Ratio 1.1-1.1566667um,Eclipse Flux Ratio 1.1566667-1.2133333um,Eclipse Flux Ratio 1.2133333-1.27um,Eclipse Flux Ratio 1.27-1.3266667um,Eclipse Flux Ratio 1.3266667-1.3833333um,Eclipse Flux Ratio 1.3833333-1.44um,Eclipse Flux Ratio 1.44-1.4966667um,Eclipse Flux Ratio 1.4966667-1.5533333um,Eclipse Flux Ratio 1.5533333-1.61um,Eclipse Flux Ratio 1.61-1.6666667um,Eclipse Flux Ratio 1.6666667-1.7233333um,Eclipse Flux Ratio 1.7233333-1.78um,Eclipse Flux Ratio 1.78-1.8366667um,Eclipse Flux Ratio 1.8366667-1.8933333um,Eclipse Flux Ratio 1.8933333-1.95um
582,TOI-5126b,5.251092562863892e-07,7.443163131208506e-07,1.0204742538561226e-06,1.35919586544896e-06,1.7651504744363568e-06,2.241989521010614e-06,2.7923246916118524e-06,3.417749644711731e-06,4.118899974090162e-06,4.895532561684771e-06,5.746618681847175e-06,6.670450943892822e-06,7.664746014387167e-06,8.72674385457868e-06,9.853309490192672e-06
583,TOI-500b,1.7778627001213122e-06,2.22483945726736e-06,2.7247960069481503e-06,3.2751529831438828e-06,3.872724576993138e-06,4.513902837380488e-06,5.194814593127113e-06,5.9114527153791105e-06,6.659788165798364e-06,7.435853764281662e-06,8.235807104475979e-06,9.055982117320548e-06,9.892919787250526e-06,1.07433865379565e-05,1.1604389667627251e-05
584,TOI-1107b,2.5143849647283024e-05,3.179912619119118e-05,3.9305600582619665e-05,4.7628741136171055e-05,5.672306060373235e-05,6.653515722883092e-05,7.700635637929434e-05,8.807495355817595e-05,9.967814459513368e-05,0.00011175349650030032,0.00012424007003746006,0.00013707934244489687,0.00015021578414914496,0.00016359722380032235,0.00017717515178275668
585,K2-370b,1.6195112692689775e-05,1.9322190226086282e-05,2.265667585852733e-05,2.6170134976664362e-05,2.983471941289877e-05,3.362384112270959e-05,3.7512598977004324e-05,4.1478029533382675e-05,4.549925519699854e-05,4.9557502515567176e-05,5.363604895943995e-05,5.7720153865149615e-05,6.17969264544325e-05,6.585517619221368e-05,6.988528761558272e-05
586,HD28109d,4.558156478981851e-13,1.191352462054776e-12,2.8503406238354372e-12,6.314281285210248e-12,1.3075941016201122e-11,2.5517704463105117e-11,4.7249387479362545e-11,8.349640080259905e-11,1.4152391893431753e-10,2.3107789698098385e-10,3.648214861523971e-10,5.587461748401086e-10,8.325358137356333e-10,1.209865510819923e-09,1.718624586718823e-09
587,HD110082b,1.0081565977461383e-08,1.6671535848105443e-08,2.6296274743983492e-08,3.980743062205531e-08,5.813295582150241e-08,8.225287940943005e-08,1.1317341404024411e-07,1.5190114994830578e-07,1.9941907320369225e-07,2.5666494110411417e-07,3.245127735250124e-07,4.0375838281393134e-07,4.951081012433851e-07,5.991708449580689e-07,7.164541444375791e-07
588,TOI-3714b,1.0440471925799193e-07,1.9160978592052967e-07,3.324971840195719e-07,5.495123711871881e-07,8.701915299804899e-07,1.3271312398019408e-06,1.9577239009208123e-06,2.8036827051077517e-06,3.91040053262037e-06,5.3261771892266475e-06,7.1013621108127555e-06,9.287472276234638e-06,1.1936302640441972e-05,1.5099067028343005e-05,1.882562319070182e-05
589,TOI-3629b,6.479626477181126e-09,1.2957623984694394e-08,2.4309825189874268e-08,4.314225728401812e-08,7.292609513707812e-08,1.1809851735477705e-07,1.8413064797790053e-07,2.775573352212406e-07,4.0596768642568223e-07,5.779564787869365e-07,8.030399958298461e-07,1.0915435772757434e-06,1.4544646176337065e-06,1.9033182386251856e-06,2.449976326579238e-06
590,TOI-1194b,7.618910832196602e-06,1.0351973503230625e-05,1.3658909329513508e-05,1.7568822586984373e-05,2.2100279835689074e-05,2.726181872677439e-05,3.305276782299654e-05,3.946427151714303e-05,4.648047130035334e-05,5.407967018969891e-05,6.223545739496868e-05,7.091782258918051e-05,8.009411379619241e-05,8.972987763148305e-05,9.97896586964288e-05
591,TOI-5398b,1.0617696231196464e-07,1.777732972515017e-07,2.8359652219773726e-07,4.3378367412374246e-07,6.39543911714916e-07,9.128862657643896e-07,1.266316128094386e-06,1.7125221077363968e-06,2.2640754402782604e-06,2.933150607964295e-06,3.731278276331027e-06,4.669143540643937e-06,5.7564215177670795e-06,7.001653292555544e-06,8.41217094960983e-06
592,TOI-5398c,2.861736420208761e-07,4.1267293817859083e-07,5.747128600132042e-07,7.76511994659224e-07,1.0217696293986581e-06,1.3135835586895554e-06,1.6544035501871254e-06,2.046016469336639e-06,2.4895606012844315e-06,2.985557669396362e-06,3.5339586988539954e-06,4.1342034168959625e-06,4.7852810618101705e-06,5.485792311749714e-06,6.234015708763989e-06
593,TOI-1670c,4.625778869487637e-10,9.867164111245163e-10,1.9620681001949833e-09,3.6703492709035237e-09,6.508461935748717e-09,1.101059543751238e-08,1.786751671460328e-08,2.7941569170672127e-08,4.227637975432135e-08,6.210053444890521e-08,8.882502363356985e-08,1.2403490571041554e-07,1.6947543090748685e-07,2.2703343744455192e-07,2.9871545697470744e-07
594,K2-3b,4.859572026201572e-13,1.3475290590394169e-12,3.40433054943759e-12,7.930218472311149e-12,1.720495622422609e-11,3.505973281820423e-11,6.758739646963584e-11,1.240180090841348e-10,2.1774647210991949e-10,3.6748401587610597e-10,5.984933998232803e-10,9.438611348944456e-10,1.4457511731857134e-09,2.156585420676482e-09,3.1401061455175503e-09
595,GJ367b,7.260897964420902e-07,9.416045952493566e-07,1.1915117756553189e-06,1.4759156711141598e-06,1.7943721754901734e-06,2.145969640604886e-06,2.529410594856109e-06,2.943091026333974e-06,3.385177458535152e-06,3.8536737081032965e-06,4.346478914228636e-06,4.8614407355372686e-06,5.396396493708163e-06,5.949206182796051e-06,6.51778268067891e-06
596,K2-174b,2.5592406384406096e-13,7.299477348279987e-13,1.8916630725709136e-12,4.509512035544131e-12,9.991595169204989e-12,2.075589035067827e-11,4.0724708984897065e-11,7.594935569031579e-11,1.3536091695245605e-10,2.3163165153495932e-10,3.82121391933217e-10,6.098766483876234e-10,9.446419976611344e-10,1.4238418278609924e-09,2.0934955249650256e-09
597,TOI-628b,1.5969798768077434e-05,2.0833782983607992e-05,2.648838885489608e-05,3.2933615346830075e-05,4.0156176436413595e-05,4.8131658795191106e-05,5.6826672505629744e-05,6.620090132836041e-05,7.62090492343428e-05,8.680249863655018e-05,9.793072086361674e-05,0.00010954253385650317,0.00012158705191826236,0.00013401442451153693,0.000146776491525991
598,TOI-712b,4.639551029376135e-11,1.0120750508604605e-10,2.0546175070841314e-10,3.9180438443593047e-10,7.072988608646675e-10,1.216677085063905e-09,2.0053833308292875e-09,3.1821909378404608e-09,4.88121859933505e-09,7.263201620860299e-09,1.051594009529566e-08,1.4853931875141004e-08,2.0517184025660324e-08,2.776927605728631e-08,3.6894839457883504e-08
599,WASP-193b,4.81939764085294e-06,6.921177704356558e-06,9.602687712175918e-06,1.2929903606317356e-05,1.696001448940754e-05,2.174022420923311e-05,2.7307126559624974e-05,3.368658147480618e-05,4.089404757881862e-05,4.8935181677933255e-05,5.780664304071858e-05,6.749709837948213e-05,7.798823289929883e-05,8.925576550603834e-05,0.0001012705246206908
600,TOI-1064c,4.150465263304161e-11,9.246060656328944e-11,1.9132237984603798e-10,3.7125286008461133e-10,6.809795465761125e-10,1.1887149889731268e-09,1.985986006309554e-09,3.1911073149657327e-09,4.9520730087968495e-09,7.448664934882673e-09,1.0893646452656388e-08,1.553300600005008e-08,2.1645208529832836e-08,2.953950577757472e-08,3.955346623408112e-08
601,TOI-1842b,1.7360885962980301e-06,2.4164970149947204e-06,3.2587420101303672e-06,4.275340588061231e-06,5.475913168025603e-06,6.867138600543754e-06,8.452836200705009e-06,1.0234144822157107e-05,1.2209782360260477e-05,1.4376332944044861e-05,1.672854907486513e-05,1.9259671921755617e-05,2.1961722977747557e-05,2.4825773075113467e-05,2.784220790497607e-05
