,Star Name,Star RA,Star Dec,Planet Name,Transit Mid Time,Transit Duration [hrs],Planet Period [days],Priority,Immediate Followup,Transit Observations,Phase Curve Observations,Known,Observe Transit,Observe Phase Curve
922,TOI-4886,158.261633,-57.281506,TOI-4886.01,2459327.582,2.123,3.251249,28,0,2,1,0,1,0
923,TOI-4890,172.065775,-49.667865,TOI-4890.01,2459328.767,2.953,3.0475227,31,0,2,1,0,1,0
924,TOI-4893,145.257124,-57.379026,TOI-4893.01,2459325.325,1.786,7.3262605,11,0,4,3,0,1,0
925,TOI-4898,197.341671,-32.829454,TOI-4898.01,2459330.011,1.262,2.7652293,10,0,5,31,0,1,0
926,TOI-4904,156.222381,-56.950477,TOI-4904.01,2459331.41,1.722,2.4118274,29,0,2,1,0,1,0
927,TOI-4909,180.114014,-47.243939,TOI-4909.01,2459316.775,5.8782939,11.6484665,25,0,1,1,0,1,0
928,TOI-4913,187.110757,-46.072906,TOI-4913.01,2459332.199,2.585,6.5430693,10,0,3,25,0,1,0
929,TOI-4917,203.73203,-64.830059,TOI-4917.01,2459356.533,3.304,4.7738904,28,0,2,1,0,1,0
930,TOI-493,119.627721,12.88326,TOI-493.01,2459575.214,2.095,5.9444406,10,0,3,18,0,1,0
931,TOI-4938,201.741869,-55.915198,TOI-4938.01,2459357.455,2.665,2.913692,28,0,1,1,0,1,0
932,TOI-4949,220.004623,-62.377726,TOI-4949.01,2459356.99,2.748,1.7819156,46,0,1,1,0,0,1
933,TOI-4960,211.627787,-63.053286,TOI-4960.01,2459357.496,1.615,4.0557174,39,0,3,1,0,1,0
934,TOI-4963,213.405362,-57.999764,TOI-4963.01,2459358.025,4.298,2.365766,11,0,1,4,0,1,0
935,TOI-4968,199.154488,-59.030514,TOI-4968.01,2460070.678,3.8169843,2.2355936,45,0,1,1,0,1,0
936,TOI-4971,154.273599,-68.883731,TOI-4971.01,2459355.695,3.374,7.9674915,10,0,2,22,0,1,0
937,TOI-4977,193.460711,-54.345963,TOI-4977.01,2459355.339,2.321,7.7023687,15,0,2,1,0,1,0
938,TOI-4987,153.669669,-15.642837,TOI-4987.01,2459274.885,2.517,4.2889696,57,0,1,1,0,1,0
939,TOI-4989,256.799859,-64.547055,TOI-4989.01,2459382.69,1.795,3.429078,34,0,1,1,0,1,0
940,TOI-5005,238.108194,-48.1451,TOI-5005.01,2459377.176,2.871,6.3084728,10,0,1,3,0,1,0
941,TOI-5009,261.294366,-40.583473,TOI-5009.01,2459385.304,7.683,8.1755735,27,0,1,1,0,1,0
942,TOI-500,106.559098,-47.5878156,TOI-500b,2458468.391,0.998,0.548177,10,0,2,31,1,1,0
943,TOI-5015,245.273071,-43.222686,TOI-5015.01,2459384.648,3.425,2.4533968,36,0,1,1,0,1,0
944,TOI-5019,251.626959,-55.262592,TOI-5019.01,2459385.957,1.895,1.090295,14,0,3,1,0,0,1
945,TOI-5022,245.215993,-57.641596,TOI-5022.01,2459385.707,2.1,2.244541,22,0,3,1,0,1,0
946,TOI-5025,261.365163,-46.988032,TOI-5025.01,2459384.454,2.783,2.8846592,34,0,1,1,0,1,0
947,TOI-5028,271.090009,-55.636862,TOI-5028.01,2459388.664,3.169,3.9353218,29,0,2,1,0,1,0
