,Planet Name,ESM Estimate 1.1-1.1425um,ESM Estimate 1.1425-1.185um,ESM Estimate 1.185-1.2275um,ESM Estimate 1.2275-1.27um,ESM Estimate 1.27-1.3125um,ESM Estimate 1.3125-1.355um,ESM Estimate 1.355-1.3975um,ESM Estimate 1.3975-1.44um,ESM Estimate 1.44-1.4825um,ESM Estimate 1.4825-1.525um,ESM Estimate 1.525-1.5675um,ESM Estimate 1.5675-1.61um,ESM Estimate 1.61-1.6525um,ESM Estimate 1.6525-1.695um,ESM Estimate 1.695-1.7375um,ESM Estimate 1.7375-1.78um,ESM Estimate 1.78-1.8225um,ESM Estimate 1.8225-1.865um,ESM Estimate 1.865-1.9075um,ESM Estimate 1.9075-1.95um
611,K2-403b,4.31285599532617e-07,8.041409220409365e-07,1.4309818209760054e-06,2.442096897201026e-06,4.01361670990583e-06,6.375866247467432e-06,9.821163651473954e-06,1.4710604428633012e-05,2.1479423065501555e-05,3.064060517710157e-05,4.278652279750602e-05,5.8588472758603744e-05,7.879410398137363e-05,0.0001042228164276952,0.00013575929709221322,0.00017434542357158364,0.00022097081217965263,0.000276662315601045,0.0003424727861776185,0.00041946941735705913
612,TOI-2193Ab,1.1830061729410515,1.363775490828798,1.5519045409599763,1.7457085572040618,1.9435602896855062,2.1439207820240527,2.345360932552379,2.5465752275780367,2.746389044440691,2.943760838324071,3.1377803908517663,3.327664139358714,3.5127484425636286,3.6924814830622505,3.8664143662822172,4.034191852376875,4.195543052725311,4.3502723355487944,4.4982506141287235,4.639407134316464
613,TOI-1260b,0.0001746008064154137,0.0002593690220921786,0.0003736445884155285,0.0005236722751934979,0.0007160250658467872,0.0009574525736050681,0.0012547246018623425,0.0016144775747491719,0.002043070319293188,0.002546454228837429,0.0031300613469348276,0.0037987125046686056,0.004556546402078563,0.005406969489223221,0.006352625688882537,0.007395384405012619,0.00853634485948201,0.009775854567560699,0.011113539670247344,0.012548344859027187
614,TOI-1260d,7.683367997071216e-09,1.6874741314838514e-08,3.497382800126014e-08,6.88101689729908e-08,1.291845817570528e-07,2.324759128362221e-07,4.0260012926115387e-07,6.733061167444847e-07,1.0907673317025168e-06,1.7164044659693566e-06,2.629853756626916e-06,3.9319802357307796e-06,5.747826144564995e-06,8.229382334359995e-06,1.1558074518994569e-05,1.5946866011315474e-05,2.1641892986269123e-05,2.8923566095167085e-05,3.810709207215438e-05,4.9542389549658374e-05
615,GPX-1b,1.639205103955403,1.7889672750258703,1.9348309417316172,2.075889119652431,2.2114291649913174,2.3409125264428416,2.4639536375040185,2.5802991110642677,2.6898079969854223,2.7924335613463906,2.8882068258071882,2.977221950341371,3.0596234374723514,3.135595068607008,3.2053504429827995,3.269124969223766,3.3271691524907285,3.3797430221982383,3.427111552947339,3.4695409423220958
616,WASP-184b,0.1121509714171719,0.13583708429077876,0.16183602690662868,0.18999628349094602,0.2201385655439724,0.25206326118385786,0.2855573261214578,0.3204004350111803,0.3563703009643909,0.3932471383370165,0.4308172920043407,0.46887608841742534,0.507229983097697,0.5456980889195436,0.5841131721880554,0.6223222013040155,0.6601865274281321,0.6975817693123672,0.7343974663142013,0.7705365552273263
617,NGTS-9b,0.05967258822048317,0.07232187548583831,0.08621444972049402,0.10126996343838311,0.11739300975640717,0.1344771180457229,0.1524084571564824,0.17106914673158463,0.1903401252709485,0.21010356011645154,0.23024481069579958,0.2506539738896468,0.2712270510336963,0.2918667814736876,0.31248318917368956,0.332993887804954,0.35332418693719014,0.3734070381217171,0.39318285531580555,0.4125992396184547
618,WASP-171b,0.11904727799145805,0.1399718055885848,0.16222495361502753,0.18562236956119005,0.20997456216609495,0.23509219368026557,0.26079036586549514,0.28689195333546974,0.3132300741590494,0.33964980625114666,0.36600926402861084,0.39218014724205946,0.41804786600901866,0.4435113352387956,0.46848251953464687,0.49288579741916166,0.5166572020756657,0.5397435851517756,0.5621017407372356,0.583697518469434
619,TOI-4137b,0.2740900701814375,0.3267165218930744,0.38351082520318297,0.4440539642905283,0.5078918566270859,0.574550756953613,0.6435505624385215,0.7144159183647458,0.7866851714775422,0.8599173155137619,0.9336971311108322,1.0076387501873563,1.081387881511669,1.1546229264390906,1.2270551970622936,1.2984284272789701,1.368517743398802,1.4371282368507625,1.504093258582826,1.5692725336297635
620,TOI-1468c,1.5313199983660135e-13,5.159838096872655e-13,1.592811276123063e-12,4.54480422603551e-12,1.2079581069062418e-11,3.011026395177683e-11,7.080834273144995e-11,1.5791976981825753e-10,3.355702625550002e-10,6.822007733178248e-10,1.3317245885264729e-09,2.5044502398932637e-09,4.550728386154949e-09,8.010611488579552e-09,1.3693019130016457e-08,2.2777941964069288e-08,3.694506652662081e-08,5.8531847720722036e-08,9.072349663108409e-08,1.377766040103593e-07
