Wavelength [um],ESM,TSM,RSM
3.87075,19.586230647061875,2.8633453175737764,1.3814048262040703
3.89025,19.593513106812235,2.8451132107732167,1.3726088489352504
3.965,50.645716822866596,7.171388679989269,3.4597960896720106
4.095,50.648619788530155,6.881098186530127,3.3197470756028973
4.225,50.559511009183126,6.609522851340151,3.188727084263779
4.355,50.3905531564041,6.355053137252269,3.06595960351101
4.485,50.152583071183216,6.1162482584574915,2.950749534343485
4.615,49.85522690062712,5.891815848031466,2.842473381615309
4.745,49.50701388829846,5.680594306275588,2.7405707380923574
4.875,49.11548547097862,5.481537463940043,2.6445368853105826
5.005,48.687297706788094,5.293701241269617,2.553916357307787
5.135,48.22831600424727,5.116232026748287,2.468297334014382
5.265,47.743701759733064,4.948356537732704,2.3873067495731046
5.395,47.23799093046067,4.789372958786919,2.3106060170785008
5.525,46.71516483604033,4.638643182706448,2.2378872853026723
5.655,46.178713640486855,4.495586004353945,2.1688701550996217
5.785,45.6316930517347,4.359671138969994,2.1032987935729732
5.915,45.07677481115817,4.2304139550275295,2.0409393929712443
6.045,44.51629154825545,4.107370827393799,1.9815779288470001
6.175,43.95227655741933,3.9901350299337195,1.9250181784664686
6.305,43.38649902286518,3.8783330980729604,1.8710799659485815
6.435,42.820495180059595,3.771621601538502,1.8195976052918277
6.565,42.25559586118095,3.669684275758026,1.7704185164340418
6.695,41.69295083083936,3.572229467449379,1.7234019928914222
6.825,41.13355027811043,3.47898785595205,1.6784181024277334
6.955,40.57824379287263,3.389710416999634,1.635346704687796
7.085,40.02775711904487,3.3041666000394327,1.5940765718555918
7.215,39.482706944866955,3.2221426939855373,1.5545046002210385
7.345,38.943613960889074,3.143440359537938,1.5165351021056095
7.475,38.410914389768635,3.06787530899219,1.4800791689439394
7.605,37.88497016820773,2.9952761168726125,1.4450540974805086
7.735,37.36607794013855,2.925483146797832,1.4113828720419674
