,Planet Name,Full Phase Curve SNR 1.1-1.1425um,Full Phase Curve SNR 1.1425-1.185um,Full Phase Curve SNR 1.185-1.2275um,Full Phase Curve SNR 1.2275-1.27um,Full Phase Curve SNR 1.27-1.3125um,Full Phase Curve SNR 1.3125-1.355um,Full Phase Curve SNR 1.355-1.3975um,Full Phase Curve SNR 1.3975-1.44um,Full Phase Curve SNR 1.44-1.4825um,Full Phase Curve SNR 1.4825-1.525um,Full Phase Curve SNR 1.525-1.5675um,Full Phase Curve SNR 1.5675-1.61um,Full Phase Curve SNR 1.61-1.6525um,Full Phase Curve SNR 1.6525-1.695um,Full Phase Curve SNR 1.695-1.7375um,Full Phase Curve SNR 1.7375-1.78um,Full Phase Curve SNR 1.78-1.8225um,Full Phase Curve SNR 1.8225-1.865um,Full Phase Curve SNR 1.865-1.9075um,Full Phase Curve SNR 1.9075-1.95um
229,K2-261b,0.017115935140843308,0.02368725982793579,0.03194563322046964,0.04209892032371884,0.054339641291234995,0.06883998339448594,0.08574787806125843,0.10518418470143796,0.1272409521845747,0.151980676832296,0.17943644141242862,0.209612800438485,0.2424872701418695,0.27801228380726334,0.316117482003729,0.3567122202624047,0.3996881920533108,0.44492208104758396,0.49227817256264567,0.5416108690582653
230,GJ3470b,0.0001873693549596818,0.00031616881703757884,0.0005128175051869027,0.0008028020851239103,0.0012173073997241404,0.0017934335904935374,0.0025742096810526726,0.003608398549574655,0.004950101110441785,0.006658178398001336,0.008795518524192067,0.01142818097141073,0.014624453483698854,0.01845385724039325,0.022986134463845932,0.028290249601696585,0.034433431203238066,0.04148027700463563,0.049491939911088086,0.058525407804398716
231,HAT-P-15b,0.007283584783430494,0.010765952326288254,0.015436119087471618,0.021536990853989402,0.029321956903734663,0.03904880392212315,0.05097356369655373,0.06534459086138768,0.08239711082728426,0.10234841631187976,0.1253938300111295,0.15170349536017244,0.18142000970236563,0.2146568757427877,0.25149771805665233,0.2919961910680548,0.33617649228077273,0.38403438838473447,0.4355386608812955,0.49063288082842954
232,K2-55b,0.0025042397239402694,0.0035808014537222995,0.004978637724781176,0.006750586873735532,0.008949094778853138,0.011624842542419841,0.014825494078020675,0.018594608827854072,0.022970747938074926,0.027986787065338286,0.03366943632218913,0.04003895798048328,0.04710906540019178,0.054886981985239794,0.06337363642343793,0.07256396963568604,0.08244732933706989,0.09300792953093498,0.10422535429894127,0.11607508765457572
233,WASP-166b,0.14974710446035805,0.19099334064553608,0.2387462893350589,0.29311950177824486,0.35411903245117404,0.42165057929796906,0.4955291754253564,0.5754905203549138,0.6612031646461655,0.7522809039375373,0.8482948807926404,0.948785024751977,1.0532705768707515,1.1612595423166752,1.272256993111282,1.3857722040355054,1.5013246500677575,1.6184489257955665,1.736698668392046,1.8556495781901499
234,HIP65Ab,7.756154158125325,9.460377686856994,11.345780889010909,13.40326981913789,15.621363163978918,17.986716653030793,20.484625742485793,23.099489257014298,25.815223327408017,28.61562026835094,31.484651065530738,34.406713036312816,37.36682617969178,40.350782929153176,43.34525664181573,46.33787435096036,49.317259202778764,52.27304769248108,55.19588638736706,58.07741233311211
235,WASP-101b,1.8763993822926788,2.2463571134670115,2.6474330518011224,3.076809813728953,3.5313737340776212,4.007826537619594,4.50278356677494,5.01285730288502,5.534726069267134,6.065188596239829,6.601205629277116,7.139930037932231,7.6787269944261505,8.215185786363959,8.74712474738026,9.272590662812918,9.789853856978835,10.297400010004505,10.793919596057297,11.27829568797556
236,WASP-5b,1.684476540697117,1.9525548823599879,2.2332793506068294,2.524170852427102,2.822794340219463,3.126811300940329,3.4340185631276756,3.74237513466466,4.050018926152053,4.355275189701014,4.656658374823876,4.952868918765414,5.242786280787984,5.525459320247793,5.8000949201542005,6.06604557875474,6.322796534916154,6.5699528593881,6.807226832483318,7.034425837397595
237,XO-3b,2.411603827926472,2.8102811868713764,3.2301095276253977,3.6674303020183436,4.1185946969686915,4.5800509931273945,5.048411524612887,5.520501324761704,5.993390928894692,6.464415902389422,6.9311855703706,7.391583219727,7.84375977974474,8.286122702280679,8.71732148084248,9.136230985253217,9.541933552883185,9.933700572132468,10.310974119237354,10.673349063960012
238,K2-121b,0.0019687551070195833,0.0030100347164109726,0.004453849443586317,0.006399780695707603,0.008956653143126237,0.012240479690621352,0.016372113994813513,0.021474738901269937,0.027671313370586106,0.035082087077982375,0.04382227374056401,0.0539999538471841,0.06571425684044074,0.07905385339516534,0.09409577121552602,0.11090453326663666,0.12953160576020012,0.1500151344730419,0.17237994187150413,0.19663775372382783
