,Planet Name,Full Phase Curve SNR 1.1-1.1566667um,Full Phase Curve SNR 1.1566667-1.2133333um,Full Phase Curve SNR 1.2133333-1.27um,Full Phase Curve SNR 1.27-1.3266667um,Full Phase Curve SNR 1.3266667-1.3833333um,Full Phase Curve SNR 1.3833333-1.44um,Full Phase Curve SNR 1.44-1.4966667um,Full Phase Curve SNR 1.4966667-1.5533333um,Full Phase Curve SNR 1.5533333-1.61um,Full Phase Curve SNR 1.61-1.6666667um,Full Phase Curve SNR 1.6666667-1.7233333um,Full Phase Curve SNR 1.7233333-1.78um,Full Phase Curve SNR 1.78-1.8366667um,Full Phase Curve SNR 1.8366667-1.8933333um,Full Phase Curve SNR 1.8933333-1.95um
36,TOI-2641b,0.7193339264260007,0.949955005744634,1.2169268212248685,1.5185456617104138,1.8522492707610427,2.2148332296998836,2.6026392387058706,3.0117533917441563,3.4381730729621807,3.877912052336869,4.327124744757325,4.782190669136901,5.239730844334794,5.696673275316773,6.1502788538054896
37,TOI-1685b,0.012237582843498393,0.017735371334248653,0.02473169377103897,0.03335744348718513,0.043705244782979095,0.05582775015030468,0.06973785446056721,0.08541148642626079,0.10279174357607601,0.12179285655026852,0.14230587144239437,0.16420415633911783,0.18734711638993415,0.21158575505677168,0.23676716225255745
38,K2-87b,0.00918508412824125,0.013726483571318207,0.019677187648876673,0.027210234836091193,0.0364665966760593,0.047550282189202285,0.06052567133409902,0.07541774806252363,0.09221425235172727,0.11086832536017367,0.13130324178278088,0.15341750110471042,0.17708860357034337,0.20217878894621596,0.22854001599285603
39,WASP-178b,17.254558564356415,19.2173870521376,21.09049764648148,22.857357718620356,24.507080846744753,26.033481365412264,27.433950746103566,28.70882651641516,29.8607147901857,30.893666926785134,31.812923529090178,32.62455026174794,33.334878142602044,33.95052089860611,34.47821265752661
40,HIP29442b,0.0002809971096480561,0.0005184909953892408,0.000900455099597718,0.0014837516403279252,0.0023353532022397793,0.003530888814175862,0.00515255667055422,0.007286654811901242,0.01002092493572412,0.013441784317144066,0.017631809204859825,0.022667518165779565,0.028617295339107077,0.03553998526612384,0.04348391528285677
41,HD152843c,0.0027615779412848984,0.004665357187165733,0.007476726799697356,0.011447167450152635,0.016841987574119827,0.023929702402834093,0.03297125430839599,0.044210331926451595,0.05786521284570549,0.07412181749329191,0.09312932506819245,0.11499770747030229,0.13979586387343335,0.16755267636057986,0.1982591542024039
42,K2-26b,6.441533983368955e-10,2.1833201614866844e-09,6.5971669342010055e-09,1.803856828534828e-08,4.519367581569263e-08,1.0484682334763236e-07,2.2725165458072229e-07,4.6369898702602216e-07,8.965583360162125e-07,1.6518792939718434e-06,2.9144377770197877e-06,4.944882825463453e-06,8.098351269081711e-06,1.2843865928282441e-05,1.978367311944901e-05
43,TOI-1246d,5.039197133126373e-06,1.0936855256965275e-05,2.2017789569422687e-05,4.152519054067724e-05,7.397729500878936e-05,0.00012535873816526256,0.00020325141253827768,0.00031689124245844034,0.0004771438625368167,0.0006963936855418019,0.000988361782290275,0.0013678636911239874,0.0018505068213026487,0.002452371360381392,0.0031896816846209027
44,WASP-62b,1.288877107765995,1.6800457405043803,2.1268258649461957,2.6253763899378417,3.170673960566091,3.7568837816524034,4.377663482102406,5.026471665142683,5.696814798781384,6.382387912832037,7.077246997745339,7.775915611055419,8.473383366105137,9.165188099371425,9.847435726597936
45,WASP-80b,0.013703766894232186,0.023691742228247784,0.038783242010787894,0.06055352407325028,0.09072216816111063,0.1310916754193488,0.18348015498283252,0.24965600876698726,0.331278413851194,0.42984305172101966,0.5466419131862332,0.6827347776964363,0.8389252145721426,1.0157553056294775,1.2135090078715458
46,WASP-22b,0.5136515962275597,0.6697751930000239,0.8481722807028949,1.0473247794384442,1.2652393031826885,1.4995948579058376,1.7478641289330585,2.0074368651262815,2.275718825149281,2.550188407254046,2.8284659815333963,3.108356967727869,3.387851677623464,3.665158560631401,3.9387125176228017
47,WASP-60b,0.12368414440477768,0.16656238450023075,0.217201310359608,0.2754745784588434,0.34105326509254424,0.4134426003645186,0.4920172251015338,0.5760610030961343,0.6648030187831948,0.7574428304656949,0.8531798974159783,0.9512356556509161,1.0508618902145206,1.1513583832745011,1.2520824648102447
48,TOI-1296b,1.0449535414091764,1.3085653368651553,1.5973786675647677,1.9075353664728345,2.2349434018793057,2.575482935109164,2.92514255462516,3.2801485289656434,3.63704743654998,3.992723468975887,4.344443335140585,4.689864873976594,5.026989120331247,5.354172346909502,5.6701057111653554
49,HAT-P-59b,0.26343405021964916,0.3595198067326655,0.4745457074824772,0.608575585013929,0.7611590238705371,0.9314034690184109,1.118049482581666,1.3195613296849475,1.5342131196039046,1.7601529014617743,1.9954779007837384,2.2382939949374228,2.4867432238094205,2.7390527574738144,2.993564766121226
50,XO-5b,0.1836660727345665,0.25493115381443376,0.34171494757544946,0.4444396939811361,0.5630962712367308,0.6972837676351163,0.8462578582791975,1.008996090186785,1.1842645606516937,1.3706709432300186,1.5667282535842886,1.7709082358262005,1.9816702492413003,2.197507177663815,2.4169765182581826
51,WASP-99b,0.94451371353638,1.2164408769807937,1.5231915629512562,1.8615921375841271,2.2278244383377377,2.6176776776927766,3.026743598053357,3.4506093002546927,3.8850037483661493,4.325871062467524,4.769466647950545,5.21240950063152,5.651664331472579,6.0845826263034795,6.5089035019684545
52,HATS-56b,3.154825429730819,3.7132510738611053,4.284543377186348,4.8601824853233815,5.432686823603295,5.995699510097046,6.543938187620214,7.073178393066362,7.580174433671552,8.062494220940934,8.518461466176694,8.94705482993498,9.347734271070772,9.720412583742334,10.065379042008258
53,WASP-70Ab,0.6595950316746676,0.8660023180024007,1.1035487993008422,1.3704892157461046,1.6643731116171712,1.9822393720783902,2.3207811567181658,2.6765169462991807,3.0459315704746626,3.4255616199260337,3.8120978247280046,4.202452213770167,4.593766053300937,4.98346180744294,5.369260783453686
54,K2-417b,9.181701331601778e-07,2.20458742164759e-06,4.866485809857792e-06,9.985819518705191e-06,1.922359583396375e-05,3.498929731284998e-05,6.0608498992573335e-05,0.00010047463054527454,0.00016017159700605773,0.0002465541667652076,0.00036778099654039123,0.0005332968037891822,0.0007537576377147478,0.0010409128114819179,0.0014074475811081547
55,TOI-1759b,6.618850249352607e-09,2.1209858177435688e-08,6.089277350697413e-08,1.5888617145609497e-07,3.813256764295946e-07,8.503010807839732e-07,1.7767377644833014e-06,3.5043686667122322e-06,6.565177339183372e-06,1.1745516963264682e-05,2.0161120504707703e-05,3.333819413366071e-05,5.329651612146167e-05,8.263085850233651e-05,0.00012458655472246196
56,WASP-150b,0.29203520541396005,0.3769488153550144,0.4729554196851579,0.5790901639201855,0.6941767830258533,0.8169068021378975,0.9459015412333814,1.0797736535639821,1.217174347877683,1.3568176779814185,1.4975118868251345,1.6381769383856366,1.7778398446787758,1.9156483422523483,2.0508718377852686
57,Qatar-4b,0.4636020383997846,0.6075289407514217,0.772886776178368,0.9584254253243288,1.162416477059173,1.3827880028901443,1.6172380197843017,1.8633519030820656,2.11869872017046,2.3808889220438605,2.6476439972435895,2.916841767488338,3.186520787223605,3.4549155184722786,3.7204678161683544
58,TOI-1201b,8.885084810476486e-05,0.00017151678868231932,0.0003104375939622267,0.0005313354256782015,0.0008661184821453306,0.0013526768467978232,0.0020342787081350554,0.002958640666789914,0.00417674971494721,0.0057414789004264066,0.007706169999491657,0.010123242871347363,0.013042790946943304,0.0165114294675397,0.020571331576697594
59,HAT-P-35b,0.8717841723552641,1.0904919645238276,1.329774484344537,1.5863974474600313,1.8569483287961992,2.1380060329919135,2.4262519242861784,2.7185747824319564,3.0121369404406138,3.3043864062189687,3.593092084738155,3.8763491339471683,4.15253787085766,4.420332567930425,4.6786836515421735
60,TOI-561b,0.45326575509050476,0.5028427216121159,0.5499605168537192,0.5942349004327203,0.6354212217712197,0.6733900850983839,0.7080987948204692,0.7395757263431448,0.7679035001815006,0.7931984216657318,0.815604480507536,0.8352844695187168,0.8524060599387089,0.8671426061500003,0.8796692654338091
61,WASP-53b,0.06112315561122425,0.09141416217280025,0.131145148030184,0.1814917091157272,0.24341808707894366,0.3176433128394564,0.4046221713234369,0.5045455776180104,0.6173539200283955,0.7427538793670841,0.8802494150180961,1.0291753836081468,1.1887225349261208,1.3579758400596338,1.5359479056483143
62,KELT-20b,36.647742903541584,41.44340948413693,46.11418137918929,50.607004113937045,54.88224139628956,58.912108720216935,62.67843884977627,66.17136669913496,69.38780190306568,72.32946725642242,75.00219384710589,77.41495357400628,79.57840445192151,81.50479416086065,83.20745648812725
63,KELT-6b,0.38131087487821413,0.5151875605213764,0.6738110223676855,0.8568928976712777,1.0634909401444352,1.2921212155941575,1.540867735242,1.807507854323221,2.089626944223575,2.3847000235735654,2.690186853656706,3.0036041879926456,3.3225547384098553,3.644785238881072,3.968218867166325
64,piMenc,0.04577786485150076,0.06541708180854268,0.0900336981967482,0.1199528549535609,0.15536317049183074,0.19631824451257454,0.2427437274600012,0.2944520249572005,0.3511600894594734,0.4125052312155051,0.4780656055565756,0.547378926565149,0.6199543665813683,0.6952900464654698,0.7728863497336451
65,HATS-24b,6.124528544306921,7.011282779930525,7.889064648439134,8.746564242556952,9.574756944537798,10.366748568338439,11.117462698886184,11.823456743827604,12.482679475329599,13.09413140308976,13.657737230422072,14.174165353120864,14.644551348044477,15.070465664926207,15.453807637873567
66,HD191939d,4.613356021975802e-07,1.1805918112533251e-06,2.7612964198190232e-06,5.972849012418918e-06,1.2066567135171172e-05,2.295724816375224e-05,4.142247459732028e-05,7.1306415095236e-05,0.00011771307788975601,0.00018717232125390837,0.0002877668104921883,0.00042920981857595393,0.0006228621066525899,0.0008816929239004077,0.0012201852792356614
67,WASP-147b,0.31757704048439156,0.41550541754752335,0.5278072021820578,0.6535931505249376,0.7916576467281062,0.9405710950803287,1.098757028972338,1.2645713498622582,1.4363668022220952,1.6125310003028306,1.7915324754146889,1.9719501430365194,2.1524751645225475,2.3319337300468237,2.5092938813058607
68,WASP-97b,1.9571140717507485,2.465591882065897,3.026217029856362,3.631800402026248,4.274543215776359,4.946454851988235,5.6396404357584,6.346575335934638,7.060289310393306,7.77442155249347,8.483326065719254,9.182104195225264,9.866523350708373,10.533050062787407,11.17881796436635
69,WASP-15b,2.0918931035484865,2.589200120239328,3.127152658157854,3.6980582501467287,4.294088302219836,4.907622427940452,5.5314541873385865,6.158984559701508,6.7843294139576935,7.40231050451385,8.008504908508662,8.599231799365894,9.171441737541999,9.722721974000581,10.251245536505392
70,HATS-58Ab,1.2361119014200679,1.5090441893641409,1.7998394087629495,2.104125553027512,2.417642579063217,2.7363962871557654,3.0567346625056904,3.375420647225423,3.6896606662900573,3.997074607992501,4.295702851562237,4.583982868794503,4.860678034419217,5.124872110348231,5.37593568060355
71,WASP-139b,0.0066447630237709485,0.010834059790247924,0.016812326044377983,0.024995621324759226,0.035800818984710145,0.0496276651732543,0.06684228673318884,0.08776408160145535,0.11265611461097445,0.14171789092620116,0.1750827429183376,0.2128181432947475,0.2549263762360996,0.3013498132956,0.3519772005800374
72,HAT-P-2b,1.5815836559149172,2.0316537808513173,2.537971172553164,3.0951136884761405,3.6966569172788164,4.335588006799179,5.004622125993416,5.69651332335772,6.4042876769066925,7.121355654086912,7.841662711223031,8.559768139400076,9.270809587706452,9.970565471946044,10.655451971417815
73,TOI-163b,1.8026141661034127,2.214961428849995,2.6574961276645266,3.123705328074232,3.607112137937222,4.10153428726052,4.601226260130407,5.101013427063005,5.596356994832955,6.083326507304569,6.558624615416566,7.019562994611097,7.463961974993396,7.890147915870868,8.29690622798529
74,TOI-1478b,0.015191691842946662,0.024818957520153305,0.03858302126243074,0.0574554675565193,0.08241240612928802,0.11439249633156773,0.15425817519198384,0.20276462775181073,0.26053686404625376,0.3280523449492333,0.40563436106568246,0.4934522985101427,0.5915228385118765,0.6997219332779304,0.8177992395989314
75,WASP-136b,2.7441372632294265,3.316094914624394,3.918909511384066,4.543404288591908,5.180884189634476,5.82339802267627,6.463841416461841,7.096061334328753,7.714874673920033,8.315973269514412,8.895914833947366,9.452055811842499,9.98239168011938,10.485537803643703,10.960654756596384
76,HATS-4b,0.19422055772188657,0.2603428513959941,0.33808071367724485,0.4271718735181773,0.5270568049105873,0.6369366075515895,0.7558272807286113,0.8826200652157761,1.0161351948683774,1.155158822893526,1.2984861715115124,1.4449533348293773,1.5934483247567737,1.742936367683388,1.892472976516939
