,Planet Name,ESM Estimate 1.1-1.1566667um,ESM Estimate 1.1566667-1.2133333um,ESM Estimate 1.2133333-1.27um,ESM Estimate 1.27-1.3266667um,ESM Estimate 1.3266667-1.3833333um,ESM Estimate 1.3833333-1.44um,ESM Estimate 1.44-1.4966667um,ESM Estimate 1.4966667-1.5533333um,ESM Estimate 1.5533333-1.61um,ESM Estimate 1.61-1.6666667um,ESM Estimate 1.6666667-1.7233333um,ESM Estimate 1.7233333-1.78um,ESM Estimate 1.78-1.8366667um,ESM Estimate 1.8366667-1.8933333um,ESM Estimate 1.8933333-1.95um
600,TOI-1064c,1.1426516182308253e-06,2.473821838448875e-06,4.969225271954753e-06,9.35330776743091e-06,1.663324242868502e-05,2.8140576008508524e-05,4.555933472996625e-05,7.093767392842743e-05,0.0001066816096363329,0.0001555296813490125,0.00022051204539014004,0.0003048964912896017,0.00041212130265702704,0.0005457247256187564,0.0007092725430996542
601,TOI-1842b,0.07760225622850107,0.10363830145306667,0.13412427862739787,0.1689299729544702,0.2078130541636372,0.25044262999680417,0.2964208670443061,0.3453066002540501,0.39663602660118585,0.44993661779214655,0.5047433503770477,0.5606104173349234,0.617114870582075,0.6738658296527578,0.7305089564567253
602,Kepler-1517b,1.9832394962945021,2.1658062790244808,2.3350692063244334,2.490288476061214,2.6312172301374552,2.757986142886932,2.8709820548897746,2.9707871615361343,3.0581166298889757,3.133744299938776,3.198487938677604,3.2531824421637783,3.298633593465012,3.335629003159165,3.3649294041873015
603,TOI-1231b,2.0944818374490912e-13,1.0454274502993714e-12,4.494752431318797e-12,1.697010264064939e-11,5.717889529789528e-11,1.7428803430495646e-10,4.861726485722708e-10,1.2533806876432907e-09,3.0117677670670657e-09,6.794815378407087e-09,1.448451181967517e-08,2.933604357437731e-08,5.672454159962297e-08,1.0516208128158512e-07,1.8762819824668712e-07
604,Qatar-6b,0.01655165720622715,0.025482622684035422,0.0375347634669163,0.05320993733459903,0.07295758888479872,0.09715611849919205,0.12609915465721178,0.1599887090866819,0.19893372239945045,0.24295108152394923,0.2919725327186622,0.34585386029533766,0.4043822859177564,0.467289224781756,0.5342623080337926
605,TOI-559b,0.04055089585599663,0.05762998639848734,0.07892144308641909,0.10467055848038209,0.135006150895431,0.1699436903731014,0.209392751876214,0.2531705922563387,0.3010179239315941,0.3526126247162673,0.4075871777207176,0.46554434135123673,0.5260668699340507,0.5887319076245418,0.6531217403701443
606,Kepler-63b,0.0005169355806671538,0.0008556477216640155,0.0013460985628973485,0.002026445545045857,0.002935809883535059,0.004112631813215,0.005593092342643173,0.007409785407679033,0.009590676106820566,0.012158266630921752,0.015129172957407979,0.018513982710445187,0.02231717413949987,0.026537466203415214,0.03116829363448095
607,K2-399b,1.7536983720842274,1.843309404387525,1.9200738435254119,1.9848529560111645,2.038608087641081,2.0823393843908757,2.1170264189675234,2.143616204921546,2.163006615179255,2.1760196417561364,2.1834142758538375,2.1858863083373463,2.1840528522266185,2.1784731605948533,2.1696528905090484
608,MASCARA-1b,15.290276762312157,16.649259608514303,17.903211780389118,19.047677721727023,20.081798092166796,21.007425456517105,21.828207023605156,22.549135904678103,23.176092211847035,23.71529575525085,24.1732104461994,24.55635525860246,24.8709677101133,25.123097979891735,25.31855233181582
609,HD152843b,0.003274741281449263,0.0047873585595329645,0.006726503770163674,0.009132460252848253,0.012034537428087647,0.015450396842755116,0.0193859843926452,0.023836245359184282,0.02878627246309778,0.03421244740904366,0.040084091717299666,0.04636508901498177,0.05301500924814728,0.05999075493838208,0.06724790461531382
610,WASP-189b,25.966899198833588,28.225859732777124,30.30391200284165,32.19477553672249,33.89806869979426,35.417810866504716,36.76088266133577,37.93628421091531,38.95437846888007,39.82598808383608,40.56225197078222,41.17432263694811,41.67281542340851,42.06797870861308,42.369608875832746
611,K2-403b,5.614919479132789e-07,1.2584752698663937e-06,2.608726495697132e-06,5.053174937447489e-06,9.225302587278815e-06,1.598869345061463e-05,2.6467481033514727e-05,4.2066652189819674e-05,6.44800725871913e-05,9.568442335397361e-05,0.0001379202959386983,0.00019366153561317044,0.0002655725194034686,0.00035645955874580147,0.00046921786831324695
612,TOI-2193Ab,1.4009779862713316,1.6832354052695464,1.978863195434619,2.2833522766880847,2.5924972084725515,2.902507898369665,3.210044205674402,3.512254291779728,3.8067726868533143,4.091664926923101,4.365417031410039,4.626897862345036,4.87527784143178,5.110017867494046,5.3308316384914445
613,TOI-1260b,0.00021686435080151313,0.0003621455177045187,0.0005744098234128425,0.0008713421212368193,0.0012713606275774783,0.0017928685909757392,0.002453513393493841,0.0032695394439383875,0.0042552581779536,0.005422606422272641,0.006780888071381705,0.00833664719771866,0.010093575887092436,0.012052624572575532,0.01421218018024372
614,TOI-1260d,1.0360306344572998e-08,2.8702973663872178e-08,7.217401530116555e-08,1.6681746421899096e-07,3.581854358395951e-07,7.208607298361655e-07,1.370088667772388e-06,2.475104076240039e-06,4.273492649521574e-06,7.085680670304342e-06,1.1328663383823086e-05,1.7528060953745705e-05,2.632745458345455e-05,3.849462491885514e-05,5.4924228523874586e-05
615,GPX-1b,1.9223717218301466,2.151015832971481,2.370710364770577,2.5793226029988325,2.775371608419197,2.957930436964071,3.1265036937928135,3.2809577593408887,3.4214439165099693,3.548303170931323,3.6620350400171944,3.7632537484528745,3.852621501069152,3.930848148308874,3.9986704475818735
616,WASP-184b,0.13402073928540567,0.1716949175594866,0.21396279104730434,0.2603586987913361,0.3103383818364766,0.36331319066397166,0.4186759143727446,0.475826050102278,0.5341885263572617,0.5932223792176202,0.6524326914426755,0.7113766041889954,0.769659913830303,0.8269418966967237,0.8829347488480617
617,NGTS-9b,0.07131967872942287,0.09144341308970894,0.11403764217707801,0.13885482670561236,0.16560467731657424,0.19397253320253402,0.22363328473198654,0.2542649969359471,0.28555903142139416,0.317224784304507,0.348996151858683,0.3806348150346092,0.41192847162268337,0.4426934571415026,0.4727744768934557
618,WASP-171b,0.14148846805766305,0.1744054782573023,0.20986050505095988,0.24733933375395012,0.28632507602920426,0.32631975294653354,0.3668566648194313,0.40751206350400826,0.4479112371994492,0.487727071041306,0.5266826445254486,0.564549815202427,0.6011415431491847,0.6363119596551734,0.6699528086519885
619,TOI-4137b,0.3265835458177847,0.40979476080990673,0.5011327543098609,0.5993860887093098,0.7032622284734414,0.8114539683869236,0.9226838667971848,1.035746347274164,1.1495349564679571,1.2630487834902122,1.3754074013805238,1.4858541963363552,1.593741624971187,1.698535334533547,1.799807949864476
620,TOI-1468c,2.2820213400895536e-13,1.098724823618257e-12,4.571333402852937e-12,1.6748623383853325e-11,5.489799400349081e-11,1.6313924323410354e-10,4.44518245577578e-10,1.1213402263460036e-09,2.640583868797411e-09,5.846299742173969e-09,1.2245428226626443e-08,2.4396551358728425e-08,4.64514635215568e-08,8.487774828870828e-08,1.4938550032672512e-07
621,TOI-2567b,0.04855947083934294,0.06441902616313998,0.08286686973406851,0.1038021899178796,0.12706129763068558,0.15243223266799621,0.17966776296888937,0.20849930186613522,0.23864883953754135,0.2698366851230509,0.301790574651346,0.33425204245604706,0.3669780174251799,0.39974580441913904,0.43235527708025734
622,TOI-1899b,1.3307644671045059e-11,5.702847579814913e-11,2.133699342516845e-10,7.093509986113996e-10,2.126486089296135e-09,5.819977552273267e-09,1.4696093125954748e-08,3.454620855015318e-08,7.618399145712698e-08,1.586639280888679e-07,3.138685808607296e-07,5.927300244269586e-07,1.073285147357821e-06,1.8706881995171297e-06,3.1491919904312006e-06
623,TOI-1468b,1.1631990862455426e-05,2.3156200550928918e-05,4.310211397318263e-05,7.568441293579893e-05,0.00012630121337871503,0.0002015603321307859,0.000309231091742333,0.000458127805782103,0.0006579345161368898,0.0009189769016645975,0.0012519696910277005,0.0016677524501297538,0.002177010021467955,0.0027900247646879266,0.003516455068334715
624,TOI-2236b,0.512550448777753,0.626725322230033,0.7486227796649225,0.8764258070665263,1.0083529952961303,1.142724766486352,1.2779973682090824,1.4127952798067023,1.5459249878974728,1.6763639828617514,1.8032649760334554,1.9259471518640974,2.0438670818936964,2.1566169846654235,2.2639110709222603
