,Planet Name,RSM Estimate 1.1-1.1566667um,RSM Estimate 1.1566667-1.2133333um,RSM Estimate 1.2133333-1.27um,RSM Estimate 1.27-1.3266667um,RSM Estimate 1.3266667-1.3833333um,RSM Estimate 1.3833333-1.44um,RSM Estimate 1.44-1.4966667um,RSM Estimate 1.4966667-1.5533333um,RSM Estimate 1.5533333-1.61um,RSM Estimate 1.61-1.6666667um,RSM Estimate 1.6666667-1.7233333um,RSM Estimate 1.7233333-1.78um,RSM Estimate 1.78-1.8366667um,RSM Estimate 1.8366667-1.8933333um,RSM Estimate 1.8933333-1.95um
610,WASP-189b,7.222383696843313,6.872195391470155,6.5460116615668555,6.242148397330381,5.958951958925889,5.694843741402907,5.4483020556324915,5.217923989767793,5.0024251960967,4.800598728665274,4.611353279441746,4.433703443701621,4.266727377197406,4.109597213288388,3.961568996878047
611,K2-403b,0.005086297433175791,0.004905445823650458,0.004729491078661531,0.004559381778786057,0.0043956885552860715,0.004238713965965889,0.004088540519230056,0.003945125905353841,0.0038083434249272206,0.003677982798509638,0.003553804846695348,0.0034355554171751324,0.003322949579198356,0.0032157087553519714,0.003113564471595823
612,TOI-2193Ab,1.4000188261461388,1.345606851255081,1.2933507109522,1.2433766001614737,1.1957297175437258,1.1504005981692718,1.1073351540828429,1.0664579996891577,1.0276812365957937,0.9909029366501735,0.9560204803985413,0.9229330949274062,0.8915366384980148,0.8617327908829939,0.8334293767802636
613,TOI-1260b,0.028773140657367535,0.028151709565660824,0.027494073465055918,0.026814924691391098,0.026125551342694123,0.02543458387105249,0.024748389913091664,0.024071755575460745,0.023408240975494342,0.022760280722548702,0.02212960362556409,0.021517396662363197,0.020924270263588323,0.02035054473597763,0.01979632340961707
614,TOI-1260d,0.006473891423951212,0.006334070836998824,0.006186104205115118,0.006033297270558606,0.005878189829797282,0.005722723714987025,0.0055683316299341805,0.005416090437785485,0.005266801156871028,0.005121011568777109,0.00497911065159636,0.004841365472648207,0.004707913377443421,0.004578826434272004,0.004454127892169067
615,GPX-1b,0.8092265336750808,0.7731643473534536,0.7391881948801295,0.7072222965455781,0.6771717043247301,0.6489321480500752,0.6223916590374815,0.5974404821313662,0.5739733418759217,0.5518864983831113,0.531083525210991,0.5114753282143482,0.49297615462271066,0.4755078071986225,0.4589990736093363
616,WASP-184b,0.2547874934883614,0.2448280794203718,0.23527112904578226,0.2261378768045449,0.21743512304979537,0.20915997114138185,0.20130161073771838,0.19384552385401158,0.1867750524333872,0.18007109922054926,0.17371453300974188,0.16768663376885154,0.16196813228092297,0.1565408696325679,0.15138784708276717
617,NGTS-9b,0.12250815407838062,0.11747084077792651,0.112671641512938,0.1081130273245394,0.10379192721988809,0.09970174558914385,0.0958330143362676,0.09217523639276158,0.08871749717495707,0.08544821577738208,0.0823562016880218,0.07943079377125617,0.07666134805676898,0.07403797783814095,0.07155153778716618
618,WASP-171b,0.18106611726002164,0.17403015181011927,0.16727279017605248,0.16081038964296138,0.1546488257371533,0.14878689901318895,0.14321763453094094,0.13793129936966758,0.13291653943506646,0.12816018375159066,0.12364897000703545,0.11936987312571971,0.11530943099436348,0.1114549333334753,0.10779446371367521
619,TOI-4137b,0.4638525996908615,0.44513109084757424,0.4272477477724822,0.410223017783394,0.3940543375871842,0.37872415572366447,0.36420270286833406,0.3504552322004441,0.33744454076985525,0.3251301793961389,0.313472597161034,0.3024337753817641,0.2919753607491096,0.2820615500476023,0.2726590868938638
